"ID","GSM30361","GSM30362","GSM30363","GSM30364","GSM30365","GSM30366","GSM30367","GSM30368","GSM30369","GSM30370","GSM30371","GSM30372","GSM30373","GSM30374"
"219733_s_at",44.5,50,46,33.9,45.4,134.7,47.8,52.7,33.5,14.8,14.1,36.9,15.8,8.6
"219735_s_at",37,124.5,22.3,113.7,182.1,225.3,347.9,62.2,122,38.6,43.8,120.5,96.6,90.7
"219736_at",38.1,80.9,62.7,37.6,68.4,64.8,130.9,68.9,44.4,32.3,15.7,8.9,42.1,28.3
"219737_s_at",208.2,169.9,160.2,168.9,205.9,215.9,27.6,105.6,68.3,69.7,108.6,66,39.7,50.9
"219743_at",86.4,61.5,61,70.6,72.1,88.7,26.3,63.2,45.2,43.5,69.7,25.9,28.4,46.1
"219744_at",24.5,12.7,12.5,30.1,38.1,17.1,21.1,18.9,16.7,52.1,16,31.7,14.1,21.3
"219746_at",162.6,158.1,150,145.9,295.3,191.8,33.2,126.2,130.5,177.4,133.1,153.5,141.3,208.4
"219752_at",14.8,19.2,123.4,95.1,93.2,131.2,483.9,92,68.4,123.9,88,29.1,137.7,28
"219753_at",74.7,83.9,79.4,84,122.2,149.8,281.9,301.3,81.1,304.8,183.3,167,182.3,149
"219755_at",46.3,21.7,73.2,36.7,47.5,38.3,228.7,67.8,39,59.3,28.7,38.7,72.7,63.1
"219759_at",612.9,1535.3,263.3,1327.5,153.2,752.7,118.2,570.6,54.5,144.3,436.9,237.8,149.3,103.3
"219760_at",209.1,74.6,98.4,49.9,52.4,11.1,64.9,66.5,148,184.3,52,40.2,88.3,50.5
"219761_at",441.8,144.6,95.6,154.8,85.1,24.3,81.4,187.9,159.4,114,178.2,177.2,68.2,102.2
"219762_s_at",5687.2,4695.4,7850.8,7006,6790.3,6603.4,3190.5,5755.8,5039.9,7371.4,2930.4,2201.6,4928.9,2101.6
"219764_at",54.2,31.8,98,96.2,81.3,23,11.9,34.8,20.4,19.5,29.9,72.4,59,61.8
"219767_s_at",199,208.5,303.5,278.4,159.4,179.4,93.1,108.6,92.4,96.2,123.7,112.4,132.5,207.6
"219769_at",20.8,137.2,144.6,109.6,42.3,33.5,94.6,122.4,59.3,74.6,93.3,93,75.8,27.5
"219772_s_at",71.7,20.8,12.4,19.8,42.3,77,24.2,33.6,13.2,39.4,10.2,18.2,10.5,4.6
"219773_at",12.4,11.9,12,39.6,11.5,8.6,20.8,65.3,49,13.9,16,16.3,6.8,7.5
"219778_at",28.3,13.3,13.7,19.6,44.3,11.4,26,8.9,40.5,3.3,9.6,8.4,5.5,5.8
"219786_at",60.9,113.2,93.7,93.8,30.9,17.5,178.5,84,103.7,178.4,278.6,78.3,168.4,290.3
"219788_at",349.1,499.3,562.4,602.7,381.3,666.9,42.9,753.7,922.5,567.7,456.3,524.1,294.1,308.8
"219789_at",101.2,87.1,86.7,138.1,139.7,116,111,193.6,114.5,78,49.8,70.1,59.8,100.6
"219793_at",63.4,53.7,47.8,52,42.5,43.2,130.8,35.6,42.8,0.7,14.7,4.6,23,39.9
"219795_at",60.3,33.8,92,73,51.8,26.8,69.8,5.6,67,43,16.4,75.9,30.3,30.4
"219796_s_at",14.6,23,13.1,21,107.9,88.4,17.2,77,22.4,71.4,52.2,70.6,82.6,33
"219797_at",356.1,231.9,165.9,248.9,229.2,162.8,579.3,255.7,141.1,191.9,170.4,181.7,146.9,316.1
"219799_s_at",208.6,584.2,286.9,381.2,478.3,710.3,1509.5,1120.2,466.5,555.7,1692.5,2583.1,314,1630
"219803_at",10,33.1,27.9,56.4,70.2,108.3,18.8,34.6,57.2,40.4,45.4,77.9,22,49.8
"219807_x_at",535.7,520.9,900.8,761.7,208,264.7,88.8,419.3,1013,395.7,542.4,108,602.2,358.8
"219811_at",50.2,173.8,143.4,87.9,38,212.6,421.5,48,70.2,74.7,147.9,104.3,68.3,90.3
"219822_at",227.7,273.1,287.6,286.2,84.8,123.4,146.7,134.5,93.3,162.2,177.9,85,227.4,126.2
"219824_at",148.4,161.4,141.6,131.9,294.2,39.3,227.2,190.5,104.3,33.5,116.9,129.6,74.4,107.5
"219825_at",12.5,8.7,10.3,16.2,51.9,11.7,17.8,43.2,14.3,10.5,6.3,19,7.8,7.5
"219827_at",333.4,75.6,61.3,108.8,201.1,89.2,296.8,124.4,39.7,133.5,106.9,264.3,93.4,115.4
"219829_at",14,17.2,14.3,19.6,9,12.5,54.5,68.4,15.8,58.4,5.5,45.1,7.5,9.5
"219830_at",35.1,68.5,54.6,49.5,65.2,17,149.1,9.6,16.2,32.8,15.6,33.7,22.2,22.3
