,GSM30361,GSM30362,GSM30363,GSM30364,GSM30365,GSM30366,GSM30367,GSM30368,GSM30369,GSM30370,GSM30371,GSM30372,GSM30373,GSM30374,ID,Gene Symbol
3202,205874_at,0.00028415902249296265,0.0004779517594599144,0.0006837056848116793,0.0012857755131196725,0.0002995553267593882,6.675486400213616e-05,0.0002033442304985062,0.00022394466078604576,0.0009028258448945199,0.00041171447492244955,0.0006243608375047096,0.0003654574986464537,0.00047915869820147367,0.0007048126960260312,ADORA2B
3203,205876_at,0.0030680294459787057,0.0012980735285331767,0.0016690462305696881,0.002108943963317981,0.0006412702920997274,0.0003883919360124286,0.0012037434380680805,0.00010886198788210556,0.002287158807066117,8.713533860792584e-05,0.00035523978685612787,0.001806984298863021,0.002353762026252853,0.0015270941747230673,FABP1
3204,205878_at,0.007561293989148677,0.0064686425626904335,0.006027669971244144,0.008435775853271925,0.0008520684850044822,0.0001304754160041752,0.0016587176527955074,0.0015847195093123653,0.0008813299914446504,0.0005162768812519605,0.001135690833737015,0.001486645009926006,0.002257089657317468,0.003594544749732759,ARSE
3205,205880_at,0.002157832577055935,0.0024386402272443364,0.002352751915381367,0.005843815691903696,0.0007011813574516051,0.0010164945200325276,0.001464894556835393,0.0018428779377185015,0.003142693774370924,0.002333048691227214,0.0024005597717853488,0.001236238946038621,0.001798946691493252,0.0009221299439673908,NOLC1
3206,205881_at,0.003867226696740163,0.004632873304764852,0.006007560980514389,0.008524215438830422,0.0003261824669157783,0.00018307015733919156,5.44064830765234e-05,0.00015707229680132374,0.0027213750467534816,0.0011414729357638283,0.0008611873620754615,0.00011505143475906876,0.004005598591105301,0.0009397502613680414,SLC22A4
3207,205883_at,0.015721985916368447,0.013035047985270394,0.012276538840515595,0.02840951609940609,0.006383856852494518,0.005734849680183515,0.001415248641028065,0.006205133309280017,0.014075484838974564,0.006787842877557422,0.031271866085365196,0.0064789749142754,0.010053926369280044,0.02088007611977117,CX3CR1
3208,205886_at,0.005865219823643807,0.004453641394967385,0.004097206861187638,0.010544719816589906,0.0034127117967106602,0.0013027312853750206,0.00038900635399714237,0.0021228087637010585,0.005563126872826231,0.0033568889198703424,0.005177889014478713,0.0036748781808337845,0.0044469289710277115,0.005409437441999789,CCNA1
3209,205890_s_at,0.0006171578769769031,0.0008852970089996144,0.0004826157775141266,0.0009184110807997659,0.00024630104644660816,0.00012238391733724962,0.00014757758534506972,0.000231720517063339,0.0003224378017480428,0.0016228956815726185,0.0028042413477582214,0.0005617217108825122,0.000529596455906892,0.005039410776586123,KRT1
3210,205891_at,0.005003862786712014,0.007147551311923267,0.003961471173761789,0.014857850373827326,0.0034615282203307087,0.0034530470561104976,0.0018273777503327298,0.00374640755439989,0.007888978216102115,0.0016969607193893551,0.013918940739544647,0.004541147807255008,0.00656951794113073,0.002737022636234421,PNOC
3211,205892_s_at,0.00012431957234067115,0.0002281133397422319,0.0002664441271692574,0.00012245481077330212,7.544356377643851e-05,3.742318133453087e-05,0.0012363873279139946,9.642061783843638e-05,0.00012897512069921715,0.0007820396640061343,0.0001399429463372625,8.572459844793359e-05,0.0004329240869715069,0.00024668444360911087,KCNN3
3212,205894_at,0.003645227460417536,0.005610501903660132,0.007611252991212372,0.008428972808228963,0.0028269147132700787,0.0009638997786975115,7.20885900763935e-05,0.0023763016783408188,0.0069904515418975684,0.004550643058798927,0.006275902901124926,0.00376285868976719,0.0035138304534774734,0.010043580918370943,MICA
3213,205895_s_at,0.013790592560361593,0.02435924592247405,0.01984254660258602,0.036355472709584814,0.004582087035245457,0.002583210949415996,0.0036928400388190263,0.0010528509399455068,0.010687738335275128,0.007088459795754767,0.011943592227784057,0.0048614870961920225,0.011688950348230686,0.014384052438064586,FOXJ1
3214,205896_at,0.010966762274337776,0.009146258669664726,0.009516579862856684,0.015374881797092378,0.004961523782474016,0.0027116634907534396,0.001293514135144344,0.008581434987620836,0.013318830797539156,0.0081057648740023,0.06177942838688842,0.040441707273055405,0.007708570635978093,0.03968095478626555,OMD
3215,205898_at,0.371502402031737,0.6194743616899939,0.25885801041645723,0.3305327464573143,0.1088450921742835,0.04162873776666545,0.07017212171002297,0.10209543774960499,0.16215612008443572,0.10383918301906521,0.05149362183109963,0.04781402273957769,0.42845193912162644,0.006472529925172385,POLE2
3216,205899_at,0.0038361468036549953,0.00297633595663674,0.0022723159524623464,0.004993435061533542,0.0016175987645006965,0.00039951774667945124,0.00011085320926841643,0.0022487776353932094,0.004939747122780016,0.001616360531177024,0.004623499650142634,0.0034244721169463996,0.002690013744288975,0.013356200589693291,CEL
3217,205900_at,0.002237752302132081,0.0025092467371645505,0.0045898771340666415,0.008483397168572653,0.0005325428031278012,0.0002579165200082534,0.00028971452238248715,0.0006873856949127237,0.0020464052484275783,0.011436513192290266,0.0045104688088702305,0.04370826565601877,0.0015677736353434182,0.019358855384181653,PTH1R
3218,205901_at,0.017808778737801144,0.019080051488439543,0.0122514026021034,0.017456613580238513,0.006474832914695518,0.0034247268107762577,0.002954272031055221,0.0019175261579805166,0.01582094813910397,0.006147398138789167,0.01023736476667205,0.0035372676412199966,0.004530991900536741,0.006995266008058359,PNLIP
3219,205903_s_at,0.00039515864065427616,0.00042363905952128776,0.0002362806410746245,0.002245004864177206,0.000248519974792974,0.0001699214720054375,5.848696930726265e-05,9.797578909389501e-05,0.00047290877589712944,0.0001437733087030776,0.0004736530491415038,0.0007918245804006496,0.0001092818083617396,0.00036415322628011604,PLIN1
3220,205904_at,0.012325397600632254,0.014387434213742197,0.00672645739910314,0.013844196662426101,0.0035059067872580253,0.001974325674729845,0.0006304351226492149,0.0018910882466377195,0.010967184430123431,0.0032545048970060294,0.007691479627536466,0.002898844973831438,0.01318947363996688,0.007647217751882438,GRIN1
3221,205906_at,0.005825259961105734,0.005007630934341377,0.0038357899817008188,0.00487098025076024,0.0027780982896500306,0.0013168914080421404,0.0027441269901721495,0.0002861515110043918,0.002699879193303612,0.001986685720260709,0.0011464556757629582,0.002289749142754016,0.0028539364568315843,0.0032656321582539443,S100A7
3222,205907_s_at,0.0003019189613987728,0.0013849738484349795,0.0017897001749482197,0.0055036634397556345,0.0012714459424676258,0.0006756401386882871,0.00012241458692217766,0.0010310785423690856,0.002523613195014682,0.0006469798891638492,0.0023305882986167175,0.0009542501353546291,0.0007859883909094348,0.0015858285660585699,ZNF264
3223,205909_at,0.0048751032296448895,0.005268331894046785,0.006756620885197773,0.006755423727660501,0.0026693708006781044,0.00011732673067042112,0.00038356570568948996,0.0026842255869216317,0.0033146606019698803,0.0027905092189188245,0.006399698584423273,0.003875654214040787,0.005543950201120558,0.016933125022025396,SLC4A3
3224,205910_s_at,0.0003551987781162033,0.0002118195297606439,0.0005580244927507089,0.0007075166844679678,0.0001775142677092671,6.675486400213616e-05,0.00017954139415252723,0.0001897308931659554,0.0003482328258878863,0.00016555714335505907,0.0005705366273749933,0.00010377188233170907,0.0002227667631989307,0.0006754455003582799,HBE1
3225,205911_at,0.015770825748359425,0.00955903518919829,0.00808884152104406,0.01366731749130911,0.005520693725758207,0.003326617389439785,0.004410325534390679,0.0037137489580352586,0.0038821511330464358,0.0031978669269108776,0.009171645406103664,0.004277206280454792,0.005955858555714808,0.012205006519517439,SLC6A6
3226,205912_at,0.0024419915995488976,0.0027102037269374694,0.002116471274306743,0.004285918377065575,0.00022633069132931558,0.0006078738373527853,0.0002876742792671175,0.00020994811948691787,0.0005159004827968685,0.0007863964309365305,0.0007750686258679154,0.001804728388377549,0.0016980711760824154,0.0034946962844624044,VNN2
3227,205913_at,0.0021667125465088402,0.0008146904990793996,0.0009049045828389875,0.0025987632064111894,0.0014156762849814053,0.0001436241013379293,0.0003556823831127717,0.000637620214738047,0.0009157233569644416,0.0028863580913875424,0.0010441896765164974,0.0006654935932142213,0.0006683002895967922,0.0013508910007165595,RELN
